time (s)	det(V)
2375.444835	1.062308	
2375.446834	1.090018	
2375.450838	1.113286	
2375.454838	1.154212	
2375.456839	1.192103	
2375.458839	1.210078	
2375.460839	1.222623	
2375.462837	1.231741	
2375.466836	1.243725	
2375.468839	1.251435	
2375.470839	1.256900	
2375.474839	1.254297	
2375.476840	1.260739	
2375.478839	1.256829	
2375.480838	1.256307	
2375.482838	1.247881	
2375.484838	1.238787	
2375.486838	1.229972	
2375.490840	1.218203	
2375.492840	1.198064	
2375.494841	1.186486	
2375.496841	1.173779	
2375.498840	1.156899	
2375.500840	1.136469	
2375.502841	1.117679	
2375.504840	1.097028	
2375.506841	1.072411	
2375.510839	1.056008	
2375.512841	1.016272	
2375.514841	1.001881	
2375.516841	0.976631	
2375.518840	0.953930	
2375.520841	0.931680	
2375.522841	0.906071	
2375.526838	0.886208	
2375.530838	0.841313	
2375.532840	0.802027	
2375.534840	0.779898	
2375.536839	0.759632	
2375.538839	0.735226	
2375.540841	0.715720	
2375.542840	0.697218	
2375.546838	0.675225	
2375.548839	0.638910	
2375.552841	0.618300	
2375.554842	0.583456	
2375.556841	0.563760	
2375.558840	0.547893	
2375.560842	0.532935	
2375.564839	0.515757	
2375.566841	0.480968	
2375.568840	0.464783	
2375.572841	0.449566	
2375.574841	0.423235	
2375.576841	0.410776	
2375.578841	0.399534	
2375.580840	0.392578	
2375.582840	0.376782	
2375.586843	0.359532	
2375.590844	0.332365	
2375.592845	0.315731	
2375.594844	0.304695	
2375.596844	0.294835	
2375.598843	0.285199	
2375.602843	0.272044	
2375.604845	0.248172	
2375.606845	0.237179	
2375.610845	0.229983	
2375.612844	0.216561	
2375.614844	0.212713	
2375.616845	0.200674	
2375.618845	0.192594	
2375.620844	0.184754	
2375.622851	0.170376	
2375.626847	0.166490	
2375.628845	0.154550	
2375.630846	0.155387	
2375.632847	0.147429	
2375.634847	0.139357	
2375.636848	0.133988	
2375.638847	0.125939	
2375.640847	0.120907	
2375.642847	0.114877	
2375.644850	0.111153	
2375.648852	0.108662	
2375.650853	0.100081	
2375.652852	0.096163	
2375.654853	0.091714	
2375.656853	0.086005	
2375.658853	0.085320	
2375.660853	0.082801	
2375.664850	0.076222	
2375.668850	0.071203	
2375.670853	0.067854	
2375.672853	0.060927	
2375.674853	0.061951	
2375.676853	0.059952	
2375.678852	0.058163	
2375.680853	0.059808	
2375.682852	0.053271	
2375.686854	0.049244	
2375.690857	0.042438	
2375.692856	0.045446	
2375.694856	0.045224	
2375.696856	0.045599	
2375.698857	0.043677	
2375.702854	0.040233	
2375.704856	0.033726	
2375.706857	0.030533	
2375.710856	0.032063	
2375.712858	0.032874	
2375.714857	0.036656	
2375.716858	0.032364	
2375.718856	0.030938	
2375.720857	0.029034	
2375.722856	0.021058	
2375.726859	0.023662	
2375.728862	0.023224	
2375.730861	0.028463	
2375.732861	0.026649	
2375.734861	0.023571	
2375.736861	0.022964	
2375.738860	0.019259	
2375.742859	0.019393	
2375.746859	0.016640	
2375.748860	0.020494	
2375.750862	0.018622	
2375.752860	0.017742	
2375.754860	0.015628	
2375.756861	0.013968	
2375.758860	0.015009	
2375.762859	0.012841	
2375.764861	0.014949	
2375.768860	0.011021	
2375.770860	0.013655	
2375.772860	0.008256	
2375.774860	0.011288	
2375.776860	0.011662	
2375.780858	0.011121	
2375.782859	0.008235	
2375.784860	0.007208	
2375.788860	0.006767	
2375.790860	0.008234	
2375.792859	0.008991	
2375.794862	0.008082	
2375.796861	0.011726	
2375.798860	0.009768	
2375.802870	0.004080	
2375.806869	0.003182	
2375.808870	0.006830	
2375.810869	0.007287	
2375.812870	0.005776	
2375.814870	0.011239	
2375.818869	0.007563	
2375.820871	0.003735	
2375.822869	-0.001113	
2375.826870	0.002818	
2375.828870	0.006599	
2375.830871	0.009891	
2375.832870	0.007609	
2375.834870	0.006056	
2375.836871	0.006640	
2375.840869	0.000152	
2375.844871	0.002913	
2375.846871	0.009322	
2375.848871	0.009973	
2375.850871	0.006155	
2375.852871	0.006717	
2375.856869	0.005165	
2375.858871	0.002740	
2375.860871	0.003157	
2375.864871	0.002977	
2375.866870	0.008529	
2375.868871	0.006851	
2375.870871	0.007295	
2375.872871	0.002698	
2375.874871	0.005204	
2375.878870	0.004211	
2375.882870	0.008016	
2375.884871	0.007180	
2375.886870	0.006855	
2375.888870	0.003019	
2375.890870	0.005268	
2375.894868	0.006490	
2375.896871	0.005682	
2375.898870	0.005292	
2375.902870	0.003495	
2375.904869	0.005746	
2375.906871	0.002915	
2375.908871	0.003847	
2375.910870	0.006131	
2375.912871	0.005035	
2375.914872	0.006826	
2375.918870	0.002462	
2375.920871	0.004035	
2375.922870	0.000601	
2375.924870	0.004273	
2375.926871	0.004229	
2375.928869	0.004120	
2375.930871	0.008462	
2375.934869	0.005355	
2375.936872	0.001447	
2375.938870	-0.001450	
2375.940869	-0.000639	
2375.942871	0.003963	
2375.944880	0.005988	
2375.946880	0.006975	
2375.948881	0.007124	
2375.950881	0.004239	
2375.954878	0.002788	
2375.958878	-0.001408	
2375.960881	0.003652	
2375.962881	0.004182	
2375.964880	0.008144	
2375.966881	0.004466	
2375.968880	0.004600	
2375.970881	0.005690	
2375.972880	-0.003038	
2375.976885	0.000007	
2375.978887	0.000738	
2375.980887	0.005263	
2375.982892	0.005859	
2375.984891	0.004085	
2375.986891	0.004720	
2375.988891	0.000848	
2375.990890	0.002708	
2375.992891	0.003198	
2375.994893	0.000558	
2375.998892	0.003331	
2376.000893	0.001828	
2376.002893	0.003893	
2376.004893	0.002543	
2376.006892	0.000381	
2376.008894	0.002087	
2376.010892	0.003513	
2376.012892	0.001408	
2376.014893	0.002756	
2376.016898	-0.000613	
2376.020902	-0.000933	
2376.022904	-0.003396	
2376.024905	0.000458	
2376.026906	0.000806	
2376.028907	-0.000092	
2376.030907	0.003755	
2376.032906	0.001295	
2376.034906	-0.004123	
2376.038907	-0.005405	
2376.040906	-0.007253	
2376.042907	-0.006043	
2376.044906	-0.003606	
2376.046907	-0.001716	
2376.048908	-0.002338	
2376.050907	-0.006219	
2376.052906	-0.006418	
2376.054906	-0.010308	
2376.058906	-0.014484	
2376.062906	-0.012071	
2376.064907	-0.006251	
2376.066906	-0.011681	
2376.068905	-0.013781	
2376.070907	-0.013618	
2376.074904	-0.019399	
2376.076906	-0.019173	
2376.078908	-0.021677	
2376.082905	-0.017918	
2376.084907	-0.021303	
2376.086906	-0.022610	
2376.088907	-0.027376	
2376.090906	-0.026401	
2376.092905	-0.026766	
2376.096908	-0.030079	
2376.100908	-0.030070	
2376.102909	-0.033046	
2376.104908	-0.035528	
2376.106909	-0.039151	
2376.108909	-0.038289	
2376.112907	-0.039055	
2376.114909	-0.042034	
2376.116910	-0.046927	
2376.120908	-0.049567	
2376.122908	-0.054735	
2376.124909	-0.053337	
2376.126910	-0.055408	
2376.128908	-0.057955	
2376.130909	-0.057664	
2376.132908	-0.064895	
2376.136908	-0.069074	
2376.138909	-0.076624	
2376.140909	-0.076698	
2376.142908	-0.077453	
2376.144908	-0.081074	
2376.146908	-0.082646	
2376.148909	-0.085276	
2376.152906	-0.094160	
2376.156908	-0.105805	
2376.158909	-0.111750	
2376.160907	-0.115274	
2376.162906	-0.121481	
2376.164908	-0.123255	
2376.166909	-0.131791	
2376.168909	-0.138160	
2376.172906	-0.146797	
2376.176907	-0.161143	
2376.178909	-0.174015	
2376.180908	-0.176092	
2376.182909	-0.186244	
2376.184908	-0.197850	
2376.186909	-0.205111	
2376.188909	-0.216823	
2376.190908	-0.227771	
2376.194916	-0.235682	
2376.196917	-0.253335	
2376.198916	-0.264076	
2376.200918	-0.275743	
2376.202917	-0.287268	
2376.204916	-0.300252	
2376.206917	-0.315069	
2376.208915	-0.325595	
2376.210916	-0.338867	
2376.212923	-0.355722	
2376.216919	-0.364743	
2376.218919	-0.396719	
2376.220922	-0.410349	
2376.222920	-0.425599	
2376.224919	-0.437737	
2376.226921	-0.453831	
2376.228922	-0.471123	
2376.232918	-0.485717	
2376.234920	-0.529442	
2376.236920	-0.548366	
2376.240920	-0.570961	
2376.242920	-0.605131	
2376.244920	-0.626292	
2376.246921	-0.644969	
2376.248919	-0.664974	
2376.250920	-0.692328	
2376.252920	-0.716818	
2376.254928	-0.741541	
2376.258925	-0.765813	
2376.260925	-0.808136	
2376.262925	-0.831940	
2376.264924	-0.852368	
2376.266924	-0.881713	
2376.268923	-0.906812	
2376.272922	-0.931568	
2376.274925	-0.987525	
2376.276924	-1.011750	
2376.280925	-1.039023	
2376.282925	-1.085221	
2376.284924	-1.112028	
2376.286924	-1.138546	
2376.288924	-1.166551	
2376.292922	-1.190438	
2376.294925	-1.237836	
2376.296924	-1.256402	
2376.300924	-1.276888	
2376.302924	-1.321356	
2376.304924	-1.343474	
2376.306925	-1.366172	
2376.308924	-1.381552	
2376.310924	-1.399359	
2376.314932	-1.419500	
2376.318932	-1.446039	
2376.320933	-1.465024	
2376.322936	-1.478420	
2376.324932	-1.483392	
2376.326935	-1.485951	
2376.330932	-1.489096	
2376.332934	-1.490259	
2376.334933	-1.488292	
2376.338933	-1.482436	
2376.340935	-1.461348	
2376.342934	-1.448165	
2376.344935	-1.433224	
2376.346934	-1.413694	
2376.350933	-1.395722	
2376.352934	-1.356228	
2376.354935	-1.331875	
2376.358935	-1.305776	
2376.360935	-1.244995	
2376.362935	-1.218048	
2376.364935	-1.178832	
2376.366933	-1.147165	
2376.368936	-1.112239	
2376.370933	-1.075917	
2376.374940	-1.042071	
2376.376940	-0.950506	
2376.378941	-0.906488	
2376.380940	-0.858301	
2376.382941	-0.815930	
2376.384939	-0.771682	
2376.386941	-0.722806	
2376.388940	-0.678749	
2376.390943	-0.630841	
2376.394941	-0.579845	
